new_family_index,old_family_index,family,level,family_num
364,405,Chlamydomonadaceae,1,3582
365,396,Scolecitrichidae,2,3575
366,406,Hiatellidae,2,3567
367,418,Tubuliporidae,2,3535
368,414,Processidae,3,3514
369,409,Oncholaimidae,2,3485
370,423,Cytherideidae,2,3449
371,421,Gelidiaceae,1,3448
372,335,Coccolithaceae,1,3419
373,356,Sepiidae,5,3416
374,416,Enchytraeidae,2,3405
375,426,Entomoneidaceae,1,3395
376,429,Polygordiidae,2,3377
377,431,Verrucidae,2,3358
378,344,Stilostomellidae,2,3316
379,425,Heliopeltaceae,1,3305
380,427,Sagartiidae,2,3299
381,358,Hyalodiscaceae,1,3288
382,311,Trochamminidae,2,3287
383,432,Lymnaeidae,2,3266
384,393,Caryophylliidae,3,3241
385,361,Textulariidae,2,3221
386,434,Branchiostomatidae,2,3175
387,438,Chromulinaceae,1,3174
388,441,Limidae,2,3124
389,442,Liparidae,4,3120
390,398,Eponididae,2,3104
391,447,Selenastraceae,1,3091
392,440,Anarhichadidae,4,3063
393,443,Archaeobalanidae,2,3059
394,417,Majidae,3,3057
395,444,Pyramidellidae,3,3055
396,323,Ammosphaeroidinidae,2,3054
397,415,Delphinidae,5,3020
398,450,Megaluropidae,2,3016
399,452,Hippothoidae,2,3008
400,456,Phoxichilidiidae,3,3001
401,459,Chorizoporidae,2,2995
402,454,Candidae,2,2991
403,455,Clionaidae,2,2986
404,460,Haleciidae,3,2968
405,329,Helicosphaeraceae,1,2959
406,461,Chthamalidae,2,2957
407,410,Pterospermataceae,1,2948
408,463,Ammotheidae,3,2948
409,446,Phocoenidae,5,2939
410,448,Stenothoidae,2,2933
411,387,Tintinnidae,2,2910
412,436,Oxystominidae,2,2881
413,430,Thoracosphaeraceae,1,2858
414,464,Hydrodictyaceae,1,2834
415,468,Chaetopteridae,2,2822
416,458,Sphaeromatidae,2,2811
417,439,Peridiniida incertae sedis,1,2792
418,390,Octopodidae,4,2772
419,466,Lucicutiidae,2,2755
420,476,Bryocryptellidae,2,2743
421,474,Hildenbrandiaceae,1,2688
422,479,Nymphonidae,3,2674
423,480,Plocamiaceae,1,2664
424,481,Didemnidae,2,2663
425,413,Pleurostomellidae,2,2658
426,475,Thoracostomopsidae,2,2655
427,462,Daphniidae,2,2638
428,326,Reophacidae,2,2633
429,449,Esocidae,4,2633
430,487,Plagioeciidae,2,2623
431,471,Priapulidae,2,2616
432,482,Stomiidae,5,2608
433,420,Astrononionidae,3,2578
434,484,Cystocloniaceae,1,2558
435,490,Catenulaceae,1,2556
436,495,Microporellidae,2,2548
437,478,Callithamniaceae,1,2540
438,437,Trachyleberididae,2,2534
439,492,Lomentariaceae,1,2532
440,428,Rosalinidae,2,2530
441,499,Bonnemaisoniaceae,1,2528
442,498,Lysianassidae,2,2521
443,500,Smittinidae,2,2521
444,502,Lithophyllaceae,1,2474
445,505,Etmopteridae,5,2453
446,507,Chimaeridae,4,2444
447,369,Syracosphaeraceae,1,2435
448,504,Molgulidae,2,2431
449,486,Ectocarpaceae,1,2417
450,470,Globobuliminidae,2,2415
451,317,Hedbergellidae,2,2409
452,469,Corethraceae,1,2405
453,511,Brissidae,2,2403
454,508,Blenniidae,3,2392
455,515,Pyrenomonadaceae,1,2376
456,513,Munididae,3,2374
457,411,Discorbinellidae,2,2362
458,514,Amphipleuraceae,1,2361
459,491,Gasterosteidae,3,2361
460,497,Pilumnidae,3,2353
461,496,Selachinematidae,2,2342
462,517,Chordaceae,1,2320
463,519,Elminiidae,2,2299
464,522,Pilargidae,2,2296
465,518,Luidiidae,4,2265
466,527,Cribrilinidae,2,2234
467,523,Polyclinidae,2,2231
468,524,Pyuridae,2,2225
469,525,Achnanthaceae,1,2204
470,531,Cerithiidae,2,2202
471,509,Cucumariidae,2,2193
472,521,Leptolaimidae,2,2190
473,404,Epistomariidae,2,2186
474,397,Pleurobrachiidae,3,2184
475,529,Wrangeliaceae,1,2178
476,530,Oenonidae,2,2175
477,528,Calliostomatidae,2,2166
478,506,Rhopalodiaceae,1,2146
479,540,Pholidae,4,2140
480,483,Ostreidae,2,2137
481,544,Microphthalmidae,2,2132
482,533,Thoridae,3,2111
483,539,Dentaliidae,2,2103
484,547,Verrucariaceae,2,2102
485,543,Echinasteridae,4,2074
486,535,Pinnulariaceae,1,2066
487,549,Amphilochidae,2,2054
488,548,Solasteridae,4,2043
489,520,Palaemonidae,3,2037
490,445,Sphaeroidinidae,2,2034
491,453,Pyrophacaceae,1,2033
492,553,Microcystaceae,1,2029
493,551,Cepolidae,3,2012
494,550,Kallymeniaceae,1,1987
495,552,Dexaminidae,2,1977
496,501,Polymorphinidae,2,1949
497,560,Paramesochridae,2,1945
498,532,Bangiaceae,1,1943
499,385,Anomalinidae,2,1931
500,564,Adeonidae,2,1914
501,546,Stephanopyxidaceae,1,1891
502,562,Caulacanthaceae,1,1877
503,565,Geodiidae,2,1869
504,563,Nuculanidae,2,1864
505,485,Oregoniidae,3,1835
506,556,Eucalanidae,2,1825
507,570,Sertularellidae,3,1822
508,573,Microprotopidae,2,1819
509,571,Dasyaceae,1,1816
510,575,Tanaopsidae,2,1808
511,558,Palmariaceae,1,1791
512,572,Aporrhaidae,2,1786
513,538,Epistominidae,2,1784
514,579,Cellariidae,2,1779
515,555,Tubulariidae,3,1773
516,457,Ammodiscidae,2,1764
517,510,Turrilinidae,2,1755
518,526,Diphyidae,3,1736
519,465,Rhabdamminidae,2,1732
520,574,Moridae,4,1727
521,581,Pasiphaeidae,3,1723
522,577,Surirellaceae,1,1722
523,585,Atelecyclidae,3,1707
524,567,Muraenidae,5,1703
525,588,Apseudidae,2,1695
526,586,Trichohyalidae,2,1688
527,582,Onchidorididae,2,1684
528,584,Sergestidae,3,1666
529,595,Hormathiidae,2,1647
530,136,Palinuridae,4,1641
531,596,Lestrigonidae,2,1637
532,435,Limacinidae,3,1636
533,606,Leptastacidae,2,1620
534,587,Sididae,2,1607
535,590,Doliolidae,2,1590
536,598,Alpheidae,3,1589
537,489,Candeinidae,2,1588
538,554,Moronidae,4,1588
539,602,Travisiidae,2,1577
540,614,Eriopisidae,2,1574
541,615,Callipallenidae,3,1571
542,600,Hippolytidae,3,1566
543,601,Arcidae,2,1563
544,512,Spiroplectamminidae,2,1538
545,597,Antedonidae,2,1531
546,618,Epizoanthidae,3,1530
547,559,Desmoscolecidae,2,1509
548,623,Rhodymeniaceae,1,1504
549,576,Peltidiidae,2,1503
550,594,Stainforthiidae,2,1501
551,451,Saccamminidae,2,1500
552,622,Yoldiidae,2,1494
553,473,Pyrocystaceae,1,1465
554,609,Heterorhabdidae,2,1448
555,624,Dumontiaceae,1,1443
556,607,Sapphirinidae,2,1442
557,599,Astrorhizidae,2,1441
558,629,Eulimidae,3,1425
559,580,Metacylididae,2,1421
560,604,Protodiniferaceae,1,1413
561,331,Globotruncanidae,2,1410
562,388,Hyperiidae,2,1407
563,621,Goneplacidae,3,1406
564,591,Lagenidae,2,1394
565,636,Uristidae,2,1392
566,638,Cletodidae,2,1388
567,635,Mangeliidae,3,1385
568,637,Pedicellinidae,2,1384
569,643,Chlorellaceae,1,1370
570,639,Phyllophoridae,2,1356
571,583,Chilostomellidae,2,1355
572,616,Camacolaimidae,2,1348
573,642,Sycettidae,2,1347
574,647,Eucrateidae,2,1346
575,561,Haplophragmoididae,2,1344
576,630,Krithidae,2,1342
577,645,Lampropidae,2,1328
578,541,Tomopteridae,2,1324
579,654,Virgulariidae,3,1322
580,650,Suberitidae,2,1320
581,652,Campanulinidae,3,1314
582,611,Monhysteridae,2,1312
583,644,Fissurellidae,2,1312
584,653,Dulichiidae,2,1312
585,656,Trichiuridae,4,1310
586,626,Xanthidae,3,1310
587,659,Poraniidae,3,1287
588,660,Cladostephaceae,1,1275
589,657,Dermochelyidae,4,1253
590,668,Kapelodiniaceae,2,1240
591,632,Augaptilidae,2,1237
592,666,Codiaceae,1,1233
593,592,Hastigerinidae,2,1229
594,664,Axiidae,3,1228
595,667,Nebaliidae,3,1224
596,658,Stypocaulaceae,1,1220
597,671,Rhodothamniellaceae,1,1206
598,670,Lepidochitonidae,2,1195
599,679,Metridiidae,2,1173
600,683,Apistobranchidae,2,1167
601,674,Cionidae,2,1161
602,682,Oscillatoriaceae,1,1156
603,680,Phyllariaceae,1,1156
604,676,Ulmaridae,3,1154
605,687,Ungulinidae,2,1152
606,640,Diplopeltidae,2,1151
607,665,Spatangidae,2,1151
608,649,Cheloniidae,3,1149
609,686,Phialellidae,3,1140
610,689,Hemiselmidaceae,1,1140
611,690,Acrocirridae,2,1136
612,675,Sphaerolaimidae,2,1125
613,693,Cynoglossidae,4,1116
614,678,Hydractiniidae,3,1115
615,695,Rhoicospheniaceae,1,1106
616,684,Philomedidae,2,1103
617,685,Argissidae,2,1102
618,681,Desmarestiaceae,1,1088
619,704,Chroococcaceae,1,1080
620,696,Gonostomatidae,4,1077
621,503,Pontellidae,2,1075
622,705,Ophiotomidae,2,1073
623,351,Heterohelicidae,2,1071
624,662,Ceramonematidae,2,1050
625,711,Phronimidae,2,1041
626,568,Hormosinellidae,2,1032
627,712,Cossuridae,2,1029
628,706,Nannastacidae,2,1022
629,710,Aspidosiphonidae,2,1020
630,713,Vibiliidae,2,999
631,717,Dreissenidae,2,997
632,721,Stauroneidaceae,1,997
633,725,Tripyloididae,2,997
634,714,Gobiesocidae,3,994
635,722,Phrosinidae,2,989
636,634,Belonidae,5,986
637,516,Ptychocylididae,2,978
638,718,Solenoceridae,3,973
639,720,Limapontiidae,3,973
640,699,Planorbulinidae,2,971
641,702,Penaeidae,3,969
642,730,Schizoporellidae,2,967
643,733,Escharinidae,2,965
644,734,Champiaceae,1,947
645,694,Dasyatidae,5,945
646,737,Leucosoleniidae,2,944
647,745,Caecidae,2,939
648,743,Ameiridae,2,937
649,744,Haustoriidae,2,931
650,701,Pomacentridae,3,921
651,677,Buliminellidae,2,918
652,715,Ralfsiaceae,1,913
653,739,Chalinidae,2,911
654,748,Gracilariaceae,1,910
655,751,Clavelinidae,2,903
656,700,Haynesinidae,2,902
657,703,Planulinidae,2,895
658,750,Laophontidae,2,892
659,488,Mugilidae,2,890
660,759,Acteonidae,3,885
661,763,Aulacoseiraceae,1,877
662,756,Dysideidae,2,874
663,762,Cuspidariidae,3,872
664,753,Scaphandridae,3,869
665,726,Acrochaetiaceae,1,862
666,738,Bougainvilliidae,3,862
667,741,Sphyraenidae,5,860
668,770,Axinellidae,2,859
669,655,Quadrimorphinidae,2,856
670,778,Periplomatidae,2,856
671,771,Oxycephalidae,2,854
672,777,Oncousoeciidae,2,853
673,764,Phocidae,5,851
674,767,Aglaopheniidae,3,850
675,780,Schizorhynchidae,2,845
676,775,Echiuridae,2,844
677,784,Kareniaceae,1,843
678,769,Lovenellidae,3,840
679,773,Himanthaliaceae,1,839
680,791,Sphaeriidae,2,831
681,783,Ophichthidae,4,829
682,794,Nephroselmidaceae,1,828
683,789,Lottiidae,2,815
684,787,Ruppiaceae,1,812
685,802,Ceratopogonidae,2,810
686,673,Rhizamminidae,2,805
687,800,Esperiopsidae,2,803
688,774,Holothuriidae,2,803
689,793,Leptocheliidae,2,802
690,782,Uranoscopidae,5,801
691,534,Aristeidae,4,801
692,766,Trefusiidae,2,800
693,799,Eudendriidae,3,800
694,796,Centriscidae,4,799
695,752,Halcampidae,2,796
696,760,Balistidae,4,794
697,804,Stichasteridae,4,792
698,805,Liljeborgiidae,2,783
699,806,Diaixidae,2,781
700,746,Myliobatidae,5,779
701,779,Pholadidae,2,774
702,808,Arcturidae,2,770
703,698,Glandulonodosariidae,2,769
704,669,Cyclamminidae,2,768
705,810,Aequoreidae,3,767
706,672,Bellerocheaceae,1,765
707,809,Membraniporidae,2,765
